Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A731553,Bat Jr,07/24/2016 08:48:00 AM,07/24/2016 08:48:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,Bat Jr,08/13/2016 12:26:00 PM,08/13/2016 12:26:00 PM,05/08/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,0.0
A739851,*Britta,12/08/2016 08:31:00 AM,12/08/2016 08:31:00 AM,2001 Kenneth Ave #A in Austin (TX),Public Assist,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,*Britta,07/27/2017 10:55:00 AM,07/27/2017 10:55:00 AM,12/08/2014,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A698553,*Bil Bo,03/13/2015 04:51:00 PM,03/13/2015 04:51:00 PM,13713 Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,German Shepherd Mix,Black/Brown,*Bil Bo,03/21/2015 12:14:00 PM,03/21/2015 12:14:00 PM,09/13/2014,Dog,Neutered Male,6 months,German Shepherd Mix,Black/Brown,0.0
A599278,Calypto,12/31/2014 05:57:00 PM,12/31/2014 05:57:00 PM,Willow And Clara St in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Labrador Retriever/Great Pyrenees,Yellow,Calypto,01/06/2015 05:42:00 PM,01/06/2015 05:42:00 PM,04/29/2009,Dog,Neutered Male,5 years,Labrador Retriever/Great Pyrenees,Yellow,0.0
A732444,Speckles,08/08/2016 02:48:00 AM,08/08/2016 02:48:00 AM,1800 Miami Dr in Travis (TX),Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,White/Black,Speckles,08/08/2016 01:11:00 PM,08/08/2016 01:11:00 PM,08/08/2014,Dog,Spayed Female,2 years,Pit Bull Mix,White/Black,0.0
A743546,Hudson,02/27/2017 11:20:00 AM,02/27/2017 11:20:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Dutch Shepherd Mix,Black/Brown Brindle,Hudson,04/11/2017 08:49:00 AM,04/11/2017 08:49:00 AM,08/14/2007,Dog,Neutered Male,9 years,Dutch Shepherd Mix,Black/Brown Brindle,0.0
A699396,*Hanna,03/26/2015 06:15:00 PM,03/26/2015 06:15:00 PM,4702 Santa Anna St in Austin (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair Mix,Torbie,*Hanna,04/04/2015 03:11:00 PM,04/04/2015 03:11:00 PM,06/26/2014,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Torbie,0.0
A766967,Domino,12/10/2019 03:02:00 PM,12/10/2019 03:02:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Black,Domino,12/13/2019 12:44:00 PM,12/13/2019 12:44:00 PM,04/20/2017,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Black,0.0
A731781,,07/27/2016 01:28:00 PM,07/27/2016 01:28:00 PM,Orange Blossom Way And Running Water Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Soft Coated Wheaten Terrier Mix,Black/White,,08/01/2016 07:01:00 PM,08/01/2016 07:01:00 PM,07/27/2014,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,Black/White,0.0
A718029,Blue,12/19/2015 04:59:00 PM,12/19/2015 04:59:00 PM,Wellsbranch And North Ih-35 in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Blue Merle,Blue,12/24/2015 03:21:00 PM,12/24/2015 03:21:00 PM,12/19/2014,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Blue Merle,0.0
A793058,,04/18/2019 08:08:00 PM,04/18/2019 08:08:00 PM,13265 N Us 183 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black,,04/19/2019 10:08:00 AM,04/19/2019 10:08:00 AM,04/18/2018,Other,Unknown,1 year,Bat,Black,1.0
A793164,,04/20/2019 01:56:00 PM,04/20/2019 01:56:00 PM,12609 Dessau Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,,06/24/2019 01:11:00 PM,06/24/2019 01:11:00 PM,03/13/2019,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,0.0
A677708,,04/28/2014 10:47:00 AM,04/28/2014 10:47:00 AM,1611 Headway in Austin (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,,04/28/2014 02:54:00 PM,04/28/2014 02:54:00 PM,03/30/2014,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,0.0
A791693,,03/30/2019 11:20:00 AM,03/30/2019 11:20:00 AM,7Th Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Jack Russell Terrier Mix,White/Tan,,04/04/2019 04:06:00 PM,04/04/2019 04:06:00 PM,03/30/2018,Dog,Neutered Male,1 year,Jack Russell Terrier Mix,White/Tan,0.0
A725662,,05/01/2016 02:02:00 PM,05/01/2016 02:02:00 PM,902 Philco Dr in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair Mix,Calico,,05/01/2016 04:44:00 PM,05/01/2016 04:44:00 PM,05/01/2016,Cat,Unknown,0 years,Domestic Shorthair Mix,Calico,0.0
A709716,,08/12/2015 01:46:00 PM,08/12/2015 01:46:00 PM,5338 Thunder Creek in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,,08/13/2015 09:00:00 AM,08/13/2015 09:00:00 AM,08/12/2013,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A802661,Bella,08/21/2019 10:55:00 AM,08/21/2019 10:55:00 AM,Partridge Circle & Meadow Vale in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Tan/White,Bella,08/21/2019 02:43:00 PM,08/21/2019 02:43:00 PM,08/21/2016,Dog,Intact Female,3 years,Labrador Retriever Mix,Tan/White,0.0
A805715,Lobo,10/01/2019 11:12:00 AM,10/01/2019 11:12:00 AM,2305 East 7Th Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Siberian Husky,Black/White,Lobo,10/01/2019 06:07:00 PM,10/01/2019 06:07:00 PM,05/01/2018,Dog,Intact Male,1 year,Siberian Husky,Black/White,0.0
A783898,Ghost,11/08/2018 11:36:00 AM,11/08/2018 11:36:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Gray Tabby,Ghost,12/10/2018 06:15:00 PM,12/10/2018 06:15:00 PM,11/08/2007,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Gray Tabby,0.0
A812838,Dingo,01/29/2020 03:30:00 PM,01/29/2020 03:30:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Tan/White,Dingo,01/31/2020 04:14:00 PM,01/31/2020 04:14:00 PM,01/29/2018,Dog,Neutered Male,2 years,Chihuahua Shorthair,Tan/White,0.0
A679365,Ellie,05/19/2014 11:38:00 PM,05/19/2014 11:38:00 PM,1313 Mesquite Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,Ellie,05/21/2014 11:40:00 AM,05/21/2014 11:40:00 AM,05/20/2010,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,0.0
A799087,Todoroki,07/05/2019 12:09:00 PM,07/05/2019 12:09:00 PM,Travis (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Blue Tabby/White,Todoroki,09/11/2019 05:54:00 PM,09/11/2019 05:54:00 PM,05/16/2019,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White,0.0
A707124,Tripp,07/08/2015 12:27:00 PM,07/08/2015 12:27:00 PM,5413 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Lhasa Apso Mix,Black/White,Tripp,07/13/2015 12:29:00 PM,07/13/2015 12:29:00 PM,07/08/2013,Dog,Neutered Male,2 years,Lhasa Apso Mix,Black/White,0.0
A598437,Gillie,09/27/2016 12:54:00 PM,09/27/2016 12:54:00 PM,14903 Bern Dr in Travis (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair,Brown Tabby/White,Gillie,10/16/2016 01:18:00 PM,10/16/2016 01:18:00 PM,09/21/2010,Cat,Neutered Male,6 years,Domestic Shorthair,Brown Tabby/White,0.0
A727240,,05/20/2016 11:31:00 AM,05/20/2016 11:31:00 AM,Fm 969 And Highway 30 in Travis (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue Tabby/White,,05/20/2016 02:05:00 PM,05/20/2016 02:05:00 PM,05/13/2016,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue Tabby/White,1.0
A669883,Blue,12/29/2013 12:11:00 PM,12/29/2013 12:11:00 PM,Lago Vista (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Siamese Mix,Lynx Point,Blue,05/01/2014 10:44:00 AM,05/01/2014 10:44:00 AM,12/29/2010,Cat,Neutered Male,3 years,Siamese Mix,Lynx Point,0.0
A711938,,09/14/2015 11:10:00 AM,09/14/2015 11:10:00 AM,Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund/Chinese Sharpei,Black/Tan,,09/18/2015 06:28:00 PM,09/18/2015 06:28:00 PM,05/14/2015,Dog,Neutered Male,4 months,Dachshund/Chinese Sharpei,Black/Tan,0.0
A800620,*Shadow,07/24/2019 11:03:00 AM,07/24/2019 11:03:00 AM,2010 Haskell in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black/White,*Shadow,09/06/2019 12:28:00 PM,09/06/2019 12:28:00 PM,06/06/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White,0.0
A648086,Yogottie,05/23/2014 11:58:00 AM,05/23/2014 11:58:00 AM,6911 Wentworth Dr in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,White/Black,Yogottie,05/23/2014 04:41:00 PM,05/23/2014 04:41:00 PM,09/05/2012,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,White/Black,1.0
A679409,*Cooper,05/20/2014 05:02:00 PM,05/20/2014 05:02:00 PM,Compass Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Buff,*Cooper,05/27/2014 06:29:00 PM,05/27/2014 06:29:00 PM,03/26/2014,Dog,Neutered Male,2 months,Labrador Retriever Mix,Buff,0.0
A778047,*Frankie,08/07/2018 05:39:00 PM,08/07/2018 05:39:00 PM,Decker Lane And Hog Eye Road in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Brown Tabby,*Frankie,08/28/2018 01:04:00 PM,08/28/2018 01:04:00 PM,02/07/2018,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby,0.0
A696185,Bailey,01/30/2015 05:14:00 PM,01/30/2015 05:14:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Australian Shepherd Mix,Brown/Black,Bailey,02/14/2015 05:46:00 PM,02/14/2015 05:46:00 PM,12/16/2014,Dog,Spayed Female,1 month,Australian Shepherd Mix,Brown/Black,0.0
A677612,Willie,04/26/2014 06:18:00 PM,04/26/2014 06:18:00 PM,183 And Bolm in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Willie,05/05/2014 02:11:00 PM,05/05/2014 02:11:00 PM,02/26/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A807605,Lucid,10/27/2019 01:49:00 PM,10/27/2019 01:49:00 PM,2403 S 6Th St in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Longhair,Tortie,Lucid,11/01/2019 04:11:00 PM,11/01/2019 04:11:00 PM,10/27/2017,Cat,Spayed Female,2 years,Domestic Longhair,Tortie,0.0
A677112,*Jazzy,04/19/2014 03:55:00 PM,04/19/2014 03:55:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Tortie,*Jazzy,05/17/2014 11:29:00 AM,05/17/2014 11:29:00 AM,10/19/2013,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,0.0
A720854,,02/16/2016 11:41:00 AM,02/16/2016 11:41:00 AM,1500 Turtle Creek in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,Chihuahua Longhair Mix,Brown/White,,02/20/2016 05:31:00 PM,02/20/2016 05:31:00 PM,02/16/2009,Dog,Neutered Male,7 years,Chihuahua Longhair Mix,Brown/White,0.0
A798149,Steel,06/22/2019 11:49:00 AM,06/22/2019 11:49:00 AM,Roaring Springs Drive And Samuel Bishop Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,German Shepherd,Tan,Steel,06/22/2019 04:45:00 PM,06/22/2019 04:45:00 PM,06/22/2014,Dog,Intact Male,5 years,German Shepherd,Tan,0.0
A675935,Kane,04/02/2014 02:39:00 PM,04/02/2014 02:39:00 PM,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,5 years,Boxer Mix,Brown Brindle/White,Kane,04/03/2014 02:16:00 PM,04/03/2014 02:16:00 PM,04/02/2009,Dog,Intact Male,5 years,Boxer Mix,Brown Brindle/White,1.0
A683412,Olaf,07/10/2014 10:45:00 AM,07/10/2014 10:45:00 AM,1006 E 7Th in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Siamese Mix,Flame Point,Olaf,07/14/2014 12:35:00 PM,07/14/2014 12:35:00 PM,05/10/2014,Cat,Intact Male,2 months,Siamese Mix,Flame Point,0.0
A762291,Stormy,11/17/2017 03:08:00 PM,11/17/2017 03:08:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 months,Border Collie Mix,Black/White,Stormy,11/21/2017 06:21:00 PM,11/21/2017 06:21:00 PM,06/17/2017,Dog,Spayed Female,5 months,Border Collie Mix,Black/White,0.0
A684608,*Button,07/26/2014 10:51:00 AM,07/26/2014 10:51:00 AM,5560 El Molino Cir in Del Valle (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White,*Button,10/04/2014 01:28:00 PM,10/04/2014 01:28:00 PM,06/26/2014,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,0.0
A702424,*Josie,05/13/2015 03:07:00 PM,05/13/2015 03:07:00 PM,E Cesar Chavez St & Chalmers Ave in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Red/White,*Josie,05/18/2015 01:03:00 PM,05/18/2015 01:03:00 PM,05/13/2013,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White,0.0
A711205,Bailey,09/03/2015 03:20:00 PM,09/03/2015 03:20:00 PM,Dittmar & Cooper Ln in Austin (TX),Stray,Normal,Dog,Intact Male,15 years,Rat Terrier Mix,Black/White,Bailey,09/03/2015 05:54:00 PM,09/03/2015 05:54:00 PM,09/03/2000,Dog,Intact Male,15 years,Rat Terrier Mix,Black/White,0.0
A759020,,09/25/2017 02:11:00 PM,09/25/2017 02:11:00 PM,Westgate And Linnet in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown/Black,,10/02/2017 04:38:00 PM,10/02/2017 04:38:00 PM,09/25/2014,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown/Black,0.0
A729681,Lady Lola,06/22/2016 12:05:00 PM,06/22/2016 12:05:00 PM,6710 Arroyo Seco in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Havanese,White/Chocolate,Lady Lola,06/24/2016 04:24:00 PM,06/24/2016 04:24:00 PM,06/22/2014,Dog,Intact Female,2 years,Havanese,White/Chocolate,0.0
A684864,,07/29/2014 05:03:00 PM,07/29/2014 05:03:00 PM,1601 S 1St in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black/Brown,,07/29/2014 05:32:00 PM,07/29/2014 05:32:00 PM,07/29/2013,Other,Unknown,1 year,Bat,Black/Brown,1.0
A684379,Kreydos,07/23/2014 06:09:00 PM,07/23/2014 06:09:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Tricolor,Kreydos,08/01/2014 01:21:00 PM,08/01/2014 01:21:00 PM,10/23/2011,Dog,Neutered Male,2 years,Pit Bull Mix,Tricolor,0.0
A711657,*Mina,09/10/2015 12:57:00 PM,09/10/2015 12:57:00 PM,2301 Lake Austin Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Black/White,*Mina,11/15/2015 03:33:00 PM,11/15/2015 03:33:00 PM,09/10/2012,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,0.0
A671549,Nitro,09/12/2018 06:42:00 PM,09/12/2018 06:42:00 PM,Duval Street And East 45Th Street in Austin (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White,Nitro,09/13/2018 12:44:00 PM,09/13/2018 12:44:00 PM,01/27/2012,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White,0.0
A705164,*Hutto,06/14/2015 10:57:00 AM,06/14/2015 10:57:00 AM,Austin (TX),Stray,Injured,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,*Hutto,06/30/2015 06:41:00 PM,06/30/2015 06:41:00 PM,12/14/2013,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0.0
A670732,,01/13/2014 12:43:00 PM,01/13/2014 12:43:00 PM,2704 Wilson St. in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon Mix,Brown/Black,,01/13/2014 01:08:00 PM,01/13/2014 01:08:00 PM,01/13/2013,Other,Unknown,1 year,Raccoon Mix,Brown/Black,1.0
A679831,Sophia,05/27/2014 10:59:00 AM,05/27/2014 10:59:00 AM,17335 Bridgefarmer Blvd in Travis (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Lhasa Apso Mix,Tan,Sophia,05/30/2014 04:38:00 PM,05/30/2014 04:38:00 PM,05/27/2011,Dog,Spayed Female,3 years,Lhasa Apso Mix,Tan,0.0
A754288,Patches,11/24/2017 12:19:00 PM,11/24/2017 12:19:00 PM,Oltorf Street And Ih 35 in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Harrier Mix,Chocolate/White,Patches,11/24/2017 02:59:00 PM,11/24/2017 02:59:00 PM,07/18/2013,Dog,Neutered Male,4 years,Harrier Mix,Chocolate/White,0.0
A683128,,07/07/2014 03:04:00 PM,07/07/2014 03:04:00 PM,Debba Dr And Red Fox Rd in Lakeway (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,,07/08/2014 11:56:00 AM,07/08/2014 11:56:00 AM,04/30/2014,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,0.0
A776531,,07/15/2018 12:24:00 PM,07/15/2018 12:24:00 PM,Coventrey Lane And Sweeney Lane in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Dachshund Mix,Brown/Black,,08/21/2018 04:55:00 PM,08/21/2018 04:55:00 PM,06/15/2018,Dog,Neutered Male,2 months,Dachshund Mix,Brown/Black,0.0
A701501,,04/30/2015 01:03:00 PM,04/30/2015 01:03:00 PM,10807 Topperwein Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby,,05/31/2015 03:03:00 PM,05/31/2015 03:03:00 PM,03/23/2015,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,0.0
A718245,Strider,12/26/2015 11:06:00 AM,12/26/2015 11:06:00 AM,Esplanade And Carraige Park in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Staffordshire Mix,Blue/White,Strider,12/31/2015 08:43:00 PM,12/31/2015 08:43:00 PM,12/26/2013,Dog,Neutered Male,2 years,Staffordshire Mix,Blue/White,0.0
A769380,Foxy,04/04/2018 12:48:00 PM,04/04/2018 12:48:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 years,Domestic Medium Hair Mix,Orange Tabby,Foxy,04/07/2018 04:05:00 PM,04/07/2018 04:05:00 PM,04/04/2016,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Orange Tabby,0.0
A718865,,01/08/2016 03:00:00 PM,01/08/2016 03:00:00 PM,I-35 And Slaughter Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Black,,01/12/2016 06:41:00 PM,01/12/2016 06:41:00 PM,11/12/2015,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,White/Black,0.0
A788679,,02/06/2019 04:45:00 PM,02/06/2019 04:45:00 PM,712 Padron Ln in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat Mix,Brown,,02/06/2019 05:51:00 PM,02/06/2019 05:51:00 PM,02/06/2017,Other,Unknown,2 years,Bat Mix,Brown,1.0
A731964,Susette,07/30/2016 11:09:00 AM,07/30/2016 11:09:00 AM,Manor (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Tan,Susette,09/13/2016 01:15:00 PM,09/13/2016 01:15:00 PM,08/17/2012,Dog,Spayed Female,4 years,Pit Bull Mix,Tan,0.0
A799980,Chikis,07/14/2019 04:27:00 PM,07/14/2019 04:27:00 PM,1005 Glazier Cir in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/White,Chikis,07/23/2019 05:24:00 PM,07/23/2019 05:24:00 PM,05/15/2013,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/White,0.0
A780939,,09/22/2018 01:03:00 PM,09/22/2018 01:03:00 PM,1205 Cullen Avenue in Austin (TX),Stray,Normal,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,,10/23/2018 04:49:00 PM,10/23/2018 04:49:00 PM,06/17/2018,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A809064,*Bing Crosby,11/18/2019 01:16:00 PM,11/18/2019 01:16:00 PM,Dessau Road And East Howard Lane in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Soft Coated Wheaten Terrier,Black/Tan,*Bing Crosby,11/29/2019 11:12:00 AM,11/29/2019 11:12:00 AM,11/18/2013,Dog,Neutered Male,6 years,Soft Coated Wheaten Terrier,Black/Tan,0.0
A671412,*Katie,01/23/2014 05:22:00 PM,01/23/2014 05:22:00 PM,15008 Fm 812 in Del Valle (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/Border Collie,Black/White,*Katie,02/02/2014 12:16:00 PM,02/02/2014 12:16:00 PM,01/23/2012,Dog,Spayed Female,2 years,Labrador Retriever/Border Collie,Black/White,0.0
A791398,Jack,03/30/2019 01:23:00 PM,03/30/2019 01:23:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Tan/Fawn,Jack,03/30/2019 05:57:00 PM,03/30/2019 05:57:00 PM,07/25/2018,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Tan/Fawn,0.0
A751540,Dracula,06/09/2017 01:07:00 PM,06/09/2017 01:07:00 PM,1016 Camino La Costa in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black,Dracula,06/18/2017 02:55:00 PM,06/18/2017 02:55:00 PM,04/09/2017,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black,0.0
A747817,Annie,07/25/2018 07:05:00 PM,07/25/2018 07:05:00 PM,1339 Lamar Square Drive in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,Annie,11/05/2018 06:16:00 PM,11/05/2018 06:16:00 PM,04/25/2015,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie,0.0
A713101,Camilla,10/02/2015 02:42:00 PM,10/02/2015 02:42:00 PM,10911 Maha Loop in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,Camilla,01/29/2016 05:41:00 PM,01/29/2016 05:41:00 PM,08/26/2015,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black,0.0
A795339,,05/19/2019 03:02:00 PM,05/19/2019 03:02:00 PM,2308 Lake Austin Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Black,,06/02/2019 04:36:00 PM,06/02/2019 04:36:00 PM,04/04/2019,Cat,Neutered Male,1 month,Domestic Shorthair,White/Black,0.0
A721210,Lilly,02/23/2016 01:07:00 PM,02/23/2016 01:07:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan,Lilly,02/29/2016 11:18:00 AM,02/29/2016 11:18:00 AM,02/23/2010,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan,0.0
A806516,*Dahlia,10/11/2019 06:38:00 PM,10/11/2019 06:38:00 PM,12609 Lexington Street in Manor (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull,Black/White,*Dahlia,10/22/2019 03:10:00 PM,10/22/2019 03:10:00 PM,04/26/2019,Dog,Intact Female,5 months,Pit Bull,Black/White,0.0
A730291,Scooter,07/01/2016 02:08:00 PM,07/01/2016 02:08:00 PM,5105 E 51St St in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,Scooter,07/05/2016 04:39:00 PM,07/05/2016 04:39:00 PM,05/01/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A738852,Sky,11/22/2016 12:13:00 PM,11/22/2016 12:13:00 PM,Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,7 years,Pit Bull Mix,White/Tan,Sky,11/30/2016 12:00:00 AM,11/30/2016 12:00:00 AM,11/22/2009,Dog,Neutered Male,7 years,Pit Bull Mix,White/Tan,0.0
A745151,Max,03/13/2017 02:56:00 PM,03/13/2017 02:56:00 PM,7307 E Riverside #11 in Austin (TX),Stray,Normal,Dog,Neutered Male,3 months,German Shepherd Mix,White,Max,03/13/2017 07:12:00 PM,03/13/2017 07:12:00 PM,11/13/2016,Dog,Neutered Male,3 months,German Shepherd Mix,White,0.0
A774272,,06/12/2018 10:02:00 PM,06/12/2018 10:02:00 PM,3510 Webberville in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,06/13/2018 07:46:00 AM,06/13/2018 07:46:00 AM,06/12/2017,Other,Unknown,1 year,Bat Mix,Brown,1.0
A720974,Russo,02/28/2016 11:39:00 AM,02/28/2016 11:39:00 AM,Pleasant Valley And Elmont Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan,Russo,02/28/2016 07:10:00 PM,02/28/2016 07:10:00 PM,12/03/2015,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan,0.0
A735678,,09/27/2016 11:40:00 AM,09/27/2016 11:40:00 AM,Old Cedar Ln And Knoll Ridge Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Siberian Husky Mix,White,,10/03/2016 05:25:00 PM,10/03/2016 05:25:00 PM,09/27/2015,Dog,Neutered Male,1 year,Siberian Husky Mix,White,0.0
